Invoice ID,Branch,city,Customer type,Gender,PRODUCT LINE,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs
638-60-7125,A,yangon,Normal,Female,ELECTRONIC ACCESSORIES,$99.56 ,8,$39.82 ,,4351000.00%,5:03:00 PM,Credit card,
659-36-1684,C,naypyitaw,Member,Male,SPORTS AND TRAVEL,$57.12 ,7,$19.99 ,,4347700.00%,12:02:00 PM,Credit card,
219-22-9386,B,mandalay,Member,Male,SPORTS AND TRAVEL,$99.96 ,9,$44.98 ,,4353300.00%,5:26:00 PM,Credit card,
336-78-2147,C,naypyitaw,Member,Male,HOME AND LIFESTYLE,$63.91 ,8,$25.56 ,,4353700.00%,7:52:00 PM,Credit card,
268-27-6179,B,mandalay,Member,Female,FASHION ACCESSORIES,$56.47 ,8,$22.59 ,,4353300.00%,2:57:00 PM,Ewallet,
668-90-8900,A,yangon,Normal,Female,HOME AND LIFESTYLE,$93.69 ,7,$32.79 ,,4353400.00%,6:44:00 PM,Credit card,
870-54-3162,A,yangon,Normal,Female,SPORTS AND TRAVEL,$32.25 ,5,$8.06 ,,4349200.00%,1:26:00 PM,Cash,
189-08-9157,C,naypyitaw,Normal,Female,FASHION ACCESSORIES,$31.73 ,9,$14.28 ,,4347300.00%,4:17:00 PM,Credit card,
663-86-9076,C,naypyitaw,Member,Female,FOOD AND BEVERAGES,$68.54 ,8,$27.42 ,,4347300.00%,3:57:00 PM,Ewallet,
549-84-7482,B,mandalay,Normal,Female,SPORTS AND TRAVEL,$90.28 ,9,$40.63 ,,4350400.00%,11:15:00 AM,Ewallet,
191-10-6171,B,mandalay,Normal,Female,FASHION ACCESSORIES,$39.62 ,7,$13.87 ,,4349000.00%,1:18:00 PM,Cash,
802-70-5316,A,yangon,Member,Female,SPORTS AND TRAVEL,$92.13 ,6,$27.64 ,,4353000.00%,8:34:00 PM,Cash,
695-51-0018,B,mandalay,Normal,Female,SPORTS AND TRAVEL,$34.84 ,4,$6.97 ,,4350600.00%,6:36:00 PM,Cash,
590-83-4591,B,mandalay,Member,Male,ELECTRONIC ACCESSORIES,$87.45 ,6,$26.24 ,,4351300.00%,2:40:00 PM,Credit card,
483-71-1164,C,naypyitaw,Normal,Female,HEALTH AND BEAUTY,$81.30 ,6,$24.39 ,,4353200.00%,4:43:00 PM,Ewallet,
597-78-7908,C,naypyitaw,Normal,Male,FASHION ACCESSORIES,$90.22 ,3,$13.53 ,,4351400.00%,7:39:00 PM,Cash,
700-81-1757,A,yangon,Normal,Female,ELECTRONIC ACCESSORIES,$26.31 ,5,$6.58 ,,4348300.00%,8:59:00 PM,Credit card,
354-39-5160,A,yangon,Member,Female,HOME AND LIFESTYLE,$34.42 ,6,$10.33 ,,4351400.00%,3:39:00 PM,Cash,
241-72-9525,B,mandalay,Normal,Male,SPORTS AND TRAVEL,$51.91 ,10,$25.96 ,,4351200.00%,12:21:00 PM,Cash,
575-30-8091,A,yangon,Normal,Male,SPORTS AND TRAVEL,$72.50 ,8,$29.00 ,,4354000.00%,7:25:00 PM,Ewallet,
731-81-9469,C,naypyitaw,Member,Female,SPORTS AND TRAVEL,$89.80 ,10,$44.90 ,,4348800.00%,1:00:00 PM,Credit card,
280-17-4359,C,naypyitaw,Member,Male,HEALTH AND BEAUTY,$90.50 ,10,$45.25 ,,4349000.00%,1:48:00 PM,Cash,
338-65-2210,C,naypyitaw,Member,Female,HEALTH AND BEAUTY,$68.60 ,10,$34.30 ,,4350100.00%,7:57:00 PM,Cash,
488-25-4221,C,naypyitaw,Member,Female,FOOD AND BEVERAGES,$30.41 ,1,$1.52 ,,4351800.00%,10:36:00 AM,Credit card,
239-10-7476,A,yangon,Normal,Female,HOME AND LIFESTYLE,$77.95 ,6,$23.39 ,,4348600.00%,4:37:00 PM,Ewallet,
458-41-1477,C,naypyitaw,Normal,Female,HEALTH AND BEAUTY,$46.26 ,6,$13.88 ,,4353200.00%,5:11:00 PM,Credit card,
685-64-1609,A,yangon,Member,Female,FASHION ACCESSORIES,$30.14 ,10,$15.07 ,,4350600.00%,12:28:00 PM,Ewallet,
568-90-5112,C,naypyitaw,Normal,Male,HEALTH AND BEAUTY,$66.14 ,4,$13.23 ,,4354300.00%,12:46:00 PM,Credit card,
262-47-2794,B,mandalay,Member,Male,HOME AND LIFESTYLE,$71.86 ,8,$28.74 ,,4353000.00%,3:07:00 PM,Credit card,
238-49-0436,A,yangon,Normal,Male,HEALTH AND BEAUTY,$32.46 ,8,$12.98 ,,4355100.00%,1:48:00 PM,Credit card,
608-96-3517,B,mandalay,Member,Female,FASHION ACCESSORIES,$91.54 ,4,$18.31 ,,4354700.00%,7:20:00 PM,Credit card,
584-86-7256,C,naypyitaw,Member,Male,SPORTS AND TRAVEL,$34.56 ,7,$12.10 ,,4353500.00%,4:07:00 PM,Credit card,
746-94-0204,A,yangon,Normal,Male,FASHION ACCESSORIES,$83.24 ,9,$37.46 ,,4349400.00%,11:56:00 AM,Credit card,
214-17-6927,C,naypyitaw,Normal,Female,FOOD AND BEVERAGES,$16.48 ,6,$4.94 ,,4350300.00%,6:23:00 PM,Ewallet,
400-89-4171,C,naypyitaw,Normal,Female,SPORTS AND TRAVEL,$80.97 ,8,$32.39 ,,4349300.00%,1:05:00 PM,Cash,
782-95-9291,A,yangon,Member,Male,FOOD AND BEVERAGES,$92.29 ,5,$23.07 ,,4351600.00%,3:55:00 PM,Credit card,
279-74-2924,B,mandalay,Member,Male,ELECTRONIC ACCESSORIES,$72.17 ,1,$3.61 ,,4346900.00%,7:40:00 PM,Cash,
307-85-2293,B,mandalay,Normal,Male,HOME AND LIFESTYLE,$50.28 ,5,$12.57 ,,4353100.00%,1:58:00 PM,Ewallet,
743-04-1105,B,mandalay,Member,Male,HEALTH AND BEAUTY,$97.22 ,9,$43.75 ,,4355400.00%,2:43:00 PM,Ewallet,
423-57-2993,B,mandalay,Normal,Male,SPORTS AND TRAVEL,$93.39 ,6,$28.02 ,,4355100.00%,7:18:00 PM,Ewallet,
894-41-5205,C,naypyitaw,Normal,Female,FOOD AND BEVERAGES,$43.18 ,8,$17.27 ,,4348400.00%,7:39:00 PM,Credit card,
275-28-0149,A,yangon,Normal,Male,SPORTS AND TRAVEL,$63.69 ,1,$3.18 ,,4352100.00%,4:21:00 PM,Cash,
101-17-6199,A,yangon,Normal,Male,FOOD AND BEVERAGES,$45.79 ,7,$16.03 ,,4353700.00%,7:44:00 PM,Credit card,
423-80-0988,C,naypyitaw,Normal,Male,SPORTS AND TRAVEL,$76.40 ,2,$7.64 ,,4349500.00%,7:42:00 PM,Ewallet,
548-46-9322,B,mandalay,Normal,Male,FOOD AND BEVERAGES,$39.90 ,10,$19.95 ,,4351600.00%,3:24:00 PM,Credit card,
505-02-0892,B,mandalay,Member,Male,HEALTH AND BEAUTY,$42.57 ,8,$17.03 ,,4352100.00%,2:12:00 PM,Ewallet,
234-65-2137,C,naypyitaw,Normal,Male,HOME AND LIFESTYLE,$95.58 ,10,$47.79 ,,4348100.00%,1:32:00 PM,Cash,
687-47-8271,A,yangon,Normal,Male,FASHION ACCESSORIES,$98.98 ,10,$49.49 ,,4350400.00%,4:20:00 PM,Credit card,
796-32-9050,A,yangon,Normal,Male,FOOD AND BEVERAGES,$51.28 ,6,$15.38 ,,4348400.00%,4:31:00 PM,Cash,
105-31-1824,A,yangon,Member,Male,SPORTS AND TRAVEL,$69.52 ,7,$24.33 ,,4349700.00%,3:10:00 PM,Credit card,
249-42-3782,A,yangon,Normal,Male,HEALTH AND BEAUTY,$70.01 ,5,$17.50 ,,4346800.00%,11:36:00 AM,Ewallet,
316-55-4634,B,mandalay,Member,Male,FOOD AND BEVERAGES,$80.05 ,5,$20.01 ,,4349100.00%,12:45:00 PM,Credit card,
733-33-4967,C,naypyitaw,Normal,Male,ELECTRONIC ACCESSORIES,$20.85 ,8,$8.34 ,,4352700.00%,7:17:00 PM,Cash,
608-27-6295,B,mandalay,Member,Male,ELECTRONIC ACCESSORIES,$52.89 ,6,$15.87 ,,4348400.00%,5:34:00 PM,Credit card,
414-12-7047,B,mandalay,Normal,Male,FOOD AND BEVERAGES,$19.79 ,8,$7.92 ,,4348300.00%,12:04:00 PM,Ewallet,
827-26-2100,A,yangon,Member,Male,HOME AND LIFESTYLE,$33.84 ,9,$15.23 ,,4354500.00%,4:21:00 PM,Ewallet,
175-54-2529,A,yangon,Member,Male,FOOD AND BEVERAGES,$22.17 ,8,$8.87 ,,4352700.00%,5:01:00 PM,Credit card,
139-52-2867,C,naypyitaw,Normal,Female,FASHION ACCESSORIES,$22.51 ,7,$7.88 ,,4350900.00%,10:50:00 AM,Credit card,
407-63-8975,A,yangon,Normal,Male,FOOD AND BEVERAGES,$73.88 ,6,$22.16 ,,4354700.00%,7:16:00 PM,Ewallet,
342-65-4817,C,naypyitaw,Member,Male,HEALTH AND BEAUTY,$86.80 ,3,$13.02 ,,4349300.00%,4:47:00 PM,Ewallet,
130-98-8941,C,naypyitaw,Normal,Male,FASHION ACCESSORIES,$64.26 ,7,$22.49 ,,4350500.00%,10:00:00 AM,Cash,
434-83-9547,C,naypyitaw,Member,Male,FOOD AND BEVERAGES,$38.47 ,8,$15.39 ,,4348800.00%,11:51:00 AM,Cash,
851-28-6367,A,yangon,Member,Male,SPORTS AND TRAVEL,$15.50 ,10,$7.75 ,,4354700.00%,10:55:00 AM,Ewallet,
824-88-3614,C,naypyitaw,Normal,Male,HEALTH AND BEAUTY,$34.31 ,8,$13.72 ,,4349000.00%,3:00:00 PM,Ewallet,
586-25-0848,A,yangon,Normal,Female,SPORTS AND TRAVEL,$12.34 ,7,$4.32 ,,4352800.00%,11:19:00 AM,Credit card,
895-66-0685,B,mandalay,Member,Male,FOOD AND BEVERAGES,$18.08 ,3,$2.71 ,,4352900.00%,7:46:00 PM,Ewallet,
